int,string,string,string
id,name,description,relatedIconFileName
1000,#1 – 평화롭고 따분한 나날들,,Record1-1
1001,#2 - 이상현상 발생,,Record1-2
1002,#3 - 무언가 잘못됐다,,Record1-3
1003,#4 - 피로 얼룩진 일지,,Record1-4
2000,#1 - 멸망의 그날,,Record2-1
2001,#2 - 피난처를 찾아서,,Record2-2
2002,#3 - 누가 마물인가,,Record2-3
2003,#4 - 전부 죽여야해,,Record2-4
10000,슬라임 ,,Slime
10001,죄수 ,,Convict
10002,하이브,,Hive
10003,파리,,Fly
10004,돌연변이 쥐,,MutantRat
10005,거대 돌연변이 식인 쥐,,BigMutantRat
10006,거미,,Spider
10007,경비대원,,SecurityGuard
10008,경비대원 (궁수),,SecurityArcher
10009,가디언,,Guardian
10010,피에 잠긴 자,,Sentinel
